id,registered,turnout,voted
01125,473,45.243128964059196,214
01127,400,46.75,187
01128,218,38.53211009174312,84
01129,190,52.10526315789473,99
01130,975,36.30769230769231,354
01133,309,56.63430420711975,175
01134,1233,40.71370640713706,502
01135,1069,44.52759588400374,476
01136,597,38.52596314907873,230
01138,1901,37.55917937927406,714
01139,331,38.972809667673715,129
01140,523,48.75717017208413,255
01141,345,54.492753623188406,188
01142,2920,41.061643835616444,1199
01143,5445,39.55922865013774,2154
01144,612,43.95424836601307,269
01145,797,39.39774153074028,314
01146,267,49.43820224719101,132
01147,369,52.03252032520326,192
01148,1332,39.71471471471472,529
01149,795,53.459119496855344,425
01150,164,52.4390243902439,86
01151,839,51.96662693682956,436
01152,601,49.58402662229617,298
01153,1059,40.8876298394712,433
01154,546,43.772893772893774,239
01155,128,58.59375,75
01156,594,42.592592592592595,253
01157,1593,45.63716258631513,727
01158,513,38.79142300194932,199
01159,2454,39.85330073349633,978
01160,3955,39.21618204804045,1551
01162,66,83.33333333333334,55
01163,1467,36.05998636673483,529
01165,961,43.704474505723205,420
01166,1565,42.74760383386582,669
01167,517,44.680851063829785,231
01169,386,45.59585492227979,176
01171,609,39.08045977011494,238
01172,128,57.03125,73
01173,5674,36.2354599929503,2056
01174,144,48.61111111111111,70
01175,591,38.24027072758037,226
01177,144,52.083333333333336,75
01179,1379,42.567077592458304,587
01180,517,42.94003868471953,222
01181,769,41.352405721716515,318
01182,297,48.484848484848484,144
01183,947,41.39387539598733,392
01184,547,51.553930530164536,282
01185,2234,40.376007162041184,902
01186,81,66.66666666666666,54
01187,261,56.32183908045977,147
01188,488,43.0327868852459,210
01189,736,41.84782608695652,308
01190,120,59.166666666666664,71
01191,136,58.08823529411765,79
01192,1483,41.1328388401888,610
01193,181,53.03867403314917,96
01194,3958,41.78878221323901,1654
01195,1168,45.37671232876712,530
01196,793,35.93947036569987,285
01197,254,57.48031496062992,146
01198,190,51.578947368421055,98
01199,1428,41.73669467787115,596
01001,593,47.38617200674536,281
01002,226,56.19469026548673,127
01049,2036,44.744597249508836,911
01066,79,53.16455696202531,42
01085,270,56.2962962962963,152
01176,104,59.61538461538461,62
01200,118,59.32203389830508,70
01202,5059,37.93239770705673,1919
01203,891,41.9753086419753,374
01204,198,52.52525252525253,104
01205,695,44.74820143884892,311
01206,214,61.21495327102804,131
01207,239,62.34309623430963,149
01208,123,64.22764227642277,79
01209,412,47.0873786407767,194
01210,180,50.0,90
01211,985,42.84263959390863,422
01212,524,45.99236641221374,241
01213,881,39.61407491486947,349
01214,122,52.459016393442624,64
01215,46,54.347826086956516,25
01216,659,44.46130500758726,293
01218,80,41.25,33
01219,137,50.36496350364964,69
01221,128,60.9375,78
01224,1755,35.840455840455846,629
01225,318,52.51572327044025,167
01260,198,57.07070707070707,113
01274,356,44.662921348314605,159
01292,126,59.523809523809526,75
01299,392,56.88775510204081,223
01300,297,49.158249158249156,146
