district,eligible,voters,turnout,municipality,APL_NUM
S.Daukanto,3219,1207,37.5,Kretingos rajono,5
Kretingos,1985,899,45.29,Kretingos rajono,6
Salantų,1284,527,41.04,Kretingos rajono,7
Darbėnų,1501,599,39.91,Kretingos rajono,8
Lazdininkų,375,174,46.4,Kretingos rajono,9
Kašučių,447,208,46.53,Kretingos rajono,10
Kumpikų,302,121,40.07,Kretingos rajono,11
Grūšlaukės,487,226,46.41,Kretingos rajono,12
Mančių,129,73,56.59,Kretingos rajono,13
Laukžemės,397,166,41.81,Kretingos rajono,14
Piliakalnio,361,144,39.89,Kretingos rajono,15
Žvainių,468,191,40.81,Kretingos rajono,16
Laivių,376,141,37.5,Kretingos rajono,17
Juodupėnų,293,141,48.12,Kretingos rajono,18
Erlėnų,364,175,48.08,Kretingos rajono,19
Kalnalio,202,97,48.02,Kretingos rajono,20
Kartenos,1224,560,45.75,Kretingos rajono,21
Kalniškių,297,157,52.86,Kretingos rajono,22
Kurmaičių,723,235,32.5,Kretingos rajono,23
Dvaro,1120,441,39.38,Kretingos rajono,24
Padvarių,231,145,62.77,Kretingos rajono,25
Kretingsodžio,1047,385,36.77,Kretingos rajono,26
Rūdaičių,733,304,41.47,Kretingos rajono,27
Vydmantų,1901,862,45.34,Kretingos rajono,28
Kūlupėnų,1135,537,47.31,Kretingos rajono,29
Nasrėnų,194,100,51.55,Kretingos rajono,30
Baublių,519,199,38.34,Kretingos rajono,31
Budrių,286,128,44.76,Kretingos rajono,32
Mikoliškių,69,30,43.48,Kretingos rajono,33
Dupulčių,568,259,45.6,Kretingos rajono,34
Raguviškių,339,160,47.2,Kretingos rajono,35
Rubulių,366,132,36.07,Kretingos rajono,36
Jokūbavo,408,197,48.28,Kretingos rajono,37
Valėnų,214,102,47.66,Kretingos rajono,38
Leliūnų,183,114,62.3,Kretingos rajono,39
Adomynės,478,241,50.42,Kupiškio rajono,1
Alizavos,569,275,48.33,Kupiškio rajono,2
Antašavos,564,295,52.3,Kupiškio rajono,3
Aukštupėnų,713,342,47.97,Kupiškio rajono,4
Biliūnų,208,93,44.71,Kupiškio rajono,5
Juodpėnų,283,114,40.28,Kupiškio rajono,6
Račiupėnų,2562,1088,42.47,Kupiškio rajono,7
Kupos,1954,951,48.67,Kupiškio rajono,8
Senamiesčio,1626,742,45.63,Kupiškio rajono,9
Laičių,243,124,51.03,Kupiškio rajono,10
Lukonių,450,182,40.44,Kupiškio rajono,11
Migonių,179,105,58.66,Kupiškio rajono,12
Naivių,334,150,44.91,Kupiškio rajono,13
Noriūnų,1375,521,37.89,Kupiškio rajono,14
Paketurių,560,215,38.39,Kupiškio rajono,15
Rudilių,435,159,36.55,Kupiškio rajono,16
Salamiesčio,590,241,40.85,Kupiškio rajono,17
Skapiškio,652,291,44.63,Kupiškio rajono,18
Skverbų,455,212,46.59,Kupiškio rajono,19
Subačiaus,841,395,46.97,Kupiškio rajono,20
Šepetos,938,399,42.54,Kupiškio rajono,21
Šimonių,524,245,46.76,Kupiškio rajono,22
Virbališkių,272,114,41.91,Kupiškio rajono,23
Žaidelių,383,190,49.61,Kupiškio rajono,24
Avižienių,652,362,55.52,Lazdijų rajono,1
Bartelių,165,91,55.15,Lazdijų rajono,2
Bugiedos,98,70,71.43,Lazdijų rajono,3
Būdviečio,322,139,43.17,Lazdijų rajono,4
Dumblio,413,165,39.95,Lazdijų rajono,5
Kapčiamiesčio,852,403,47.3,Lazdijų rajono,6
A.Kirsnos,560,261,46.61,Lazdijų rajono,7
Kirsnos,361,184,50.97,Lazdijų rajono,8
Krikštonių,333,191,57.36,Lazdijų rajono,9
Krosnos,793,377,47.54,Lazdijų rajono,10
Kuklių,507,249,49.11,Lazdijų rajono,11
Kučiūnų,658,296,44.98,Lazdijų rajono,12
Vytautų,296,134,45.27,Lazdijų rajono,13
Lazdijų,4521,2062,45.61,Lazdijų rajono,14
Metelių,289,146,50.52,Lazdijų rajono,15
Nemajūnų,302,153,50.66,Lazdijų rajono,16
Noragėlių,294,112,38.1,Lazdijų rajono,17
Petroškų,239,94,39.33,Lazdijų rajono,18
Rudaminos,425,205,48.24,Lazdijų rajono,19
Seiliūnų,318,136,42.77,Lazdijų rajono,20
Seirijų,1274,672,52.75,Lazdijų rajono,21
Stebulių,345,145,42.03,Lazdijų rajono,22
Šeštokų,1010,420,41.58,Lazdijų rajono,23
Šventežerio,796,338,42.46,Lazdijų rajono,24
Teizų,515,235,45.63,Lazdijų rajono,25
Verstaminų,370,154,41.62,Lazdijų rajono,26
Veisiejų,1978,815,41.2,Lazdijų rajono,27
Viktarinos,338,171,50.59,Lazdijų rajono,28
Žagarių,265,152,57.36,Lazdijų rajono,29
Varnėnų,328,132,40.24,Lazdijų rajono,33
Kvietiškio,3221,1310,40.67,Marijampolės,1
Narto,1899,915,48.18,Marijampolės,2
Laikštės,2100,885,42.14,Marijampolės,3
Tarpučių,3478,1514,43.53,Marijampolės,4
Uosupio,2438,1029,42.21,Marijampolės,5
Mokolų,3136,1394,44.45,Marijampolės,6
Degučių,3365,1498,44.52,Marijampolės,7
Suvalkiečių,2252,919,40.81,Marijampolės,8
Šaulių,2465,1068,43.33,Marijampolės,9
Kauno,2151,955,44.4,Marijampolės,10
Dariaus ir Girėno,1895,906,47.81,Marijampolės,11
Beržų,2068,863,41.73,Marijampolės,12
Armino,1052,564,53.61,Marijampolės,13
Gedimino,707,337,47.67,Marijampolės,14
Centro,2148,934,43.48,Marijampolės,15
Mokolų kaimo,1421,503,35.4,Marijampolės,16
Šunskų,794,284,35.77,Marijampolės,17
Sasnavos,901,324,35.96,Marijampolės,18
Puskelnių,719,291,40.47,Marijampolės,19
Smilgių,464,150,32.33,Marijampolės,20
Baraginės,1255,473,37.69,Marijampolės,21
Patašinės,1139,455,39.95,Marijampolės,22
Igliškėlių,433,142,32.79,Marijampolės,23
Igliaukos,1049,410,39.08,Marijampolės,24
Šventragio,389,187,48.07,Marijampolės,25
Gudelių,601,235,39.1,Marijampolės,26
Daugirdų,256,100,39.06,Marijampolės,27
Daukšių,256,91,35.55,Marijampolės,28
Padovinio,502,185,36.85,Marijampolės,29
Želsvos,1059,395,37.3,Marijampolės,31
Liudvinavo,1501,568,37.84,Marijampolės,32
Netičkampio,980,380,38.78,Marijampolės,33
Valavičių,626,266,42.49,Marijampolės,34
Balsupių,871,288,33.07,Marijampolės,35
Varnupių,214,81,37.85,Marijampolės,36
Meškučių,974,406,41.68,Marijampolės,38
Kūlokų,193,78,40.41,Marijampolės,39
Tautkaičių,301,119,39.53,Marijampolės,40
Gavaltuvos,359,152,42.34,Marijampolės,41
M. Račkausko,2503,1097,43.83,Mažeikių rajono,1
Senamieščio,1783,864,48.46,Mažeikių rajono,2
Kęstučio,1818,847,46.59,Mažeikių rajono,3
Gabijos,2081,937,45.03,Mažeikių rajono,4
Žemaitijos,2988,1353,45.28,Mažeikių rajono,5
Reivyčių,1612,743,46.09,Mažeikių rajono,6
Pavasario,3492,1503,43.04,Mažeikių rajono,7
Naftininkų,3426,1577,46.03,Mažeikių rajono,8
Pavenčių,2175,911,41.89,Mažeikių rajono,9
Sodų,2483,1066,42.93,Mažeikių rajono,10
Kalnėnų,2237,823,36.79,Mažeikių rajono,11
Ventos,3456,1421,41.12,Mažeikių rajono,12
Sedos,1708,768,44.96,Mažeikių rajono,13
Žemalės,535,193,36.07,Mažeikių rajono,14
Šerkšnėnų,475,203,42.74,Mažeikių rajono,15
Plinkšių,612,230,37.58,Mažeikių rajono,16
Tirkšlių,2159,820,37.98,Mažeikių rajono,17
Balėnų,578,201,34.78,Mažeikių rajono,18
Užlieknės,439,161,36.67,Mažeikių rajono,19
Buknaičių,376,169,44.95,Mažeikių rajono,20
Leckavos,348,134,38.51,Mažeikių rajono,21
Auksūdžio,384,144,37.5,Mažeikių rajono,22
Dagių,226,97,42.92,Mažeikių rajono,23
Renavo,452,215,47.57,Mažeikių rajono,24
Pikelių,390,135,34.62,Mažeikių rajono,25
Račalių,255,92,36.08,Mažeikių rajono,26
Ukrinų,552,224,40.58,Mažeikių rajono,27
Židikų,601,261,43.43,Mažeikių rajono,28
Urvikių,321,144,44.86,Mažeikių rajono,29
Bugenių,995,361,36.28,Mažeikių rajono,30
Krakių,760,275,36.18,Mažeikių rajono,31
Purvėnų,532,147,27.63,Mažeikių rajono,32
Laižuvos,469,194,41.36,Mažeikių rajono,33
Lūšės,216,87,40.28,Mažeikių rajono,34
Pievėnų,215,76,35.35,Mažeikių rajono,35
Kapėnų,397,121,30.48,Mažeikių rajono,36
Palnosų,787,349,44.35,Mažeikių rajono,37
Viekšnių,2834,1083,38.21,Mažeikių rajono,38
Alantos,863,476,55.16,Molėtų rajono,1
Žalvarių,502,230,45.82,Molėtų rajono,2
Balninkų,409,246,60.15,Molėtų rajono,3
Bekupės,434,191,44.01,Molėtų rajono,4
Bijutiškio,361,179,49.58,Molėtų rajono,5
Čiulėnų,886,400,45.15,Molėtų rajono,6
Dapkūniškių,273,142,52.01,Molėtų rajono,7
Dubingių,535,271,50.65,Molėtų rajono,8
Giedraičių,962,463,48.13,Molėtų rajono,9
Girsteitiškio,272,143,52.57,Molėtų rajono,10
Inturkės,863,379,43.92,Molėtų rajono,11
Joniškio,1184,344,29.05,Molėtų rajono,12
Miežonių,359,136,37.88,Molėtų rajono,13
Levaniškių,423,209,49.41,Molėtų rajono,14
Luokesos,1428,572,40.06,Molėtų rajono,15
Mindūnų,523,286,54.68,Molėtų rajono,16
Siesarties,2600,1263,48.58,Molėtų rajono,17
Liepų,2711,1207,44.52,Molėtų rajono,18
Naujasodžio,764,388,50.79,Molėtų rajono,19
Skudutiškio,401,191,47.63,Molėtų rajono,20
Suginčių,575,305,53.04,Molėtų rajono,21
Videniškių,664,319,48.04,Molėtų rajono,22
Vorėnų,325,154,47.38,Molėtų rajono,23
Verbiškių,392,221,56.38,Molėtų rajono,24
Kopų,2254,1278,56.7,Neringos,1
Smėlio,1202,668,55.57,Neringos,2
Pušų,517,320,61.9,Neringos,3
Pagėgių,1766,848,48.02,Pagėgių,1
Panemunės,268,102,38.06,Pagėgių,2
Kentrių,265,101,38.11,Pagėgių,3
Natkiškių,719,354,49.24,Pagėgių,4
Pagėgių kaimiškoji,695,243,34.96,Pagėgių,5
Piktupėnų,557,226,40.57,Pagėgių,6
Stoniškių,1213,481,39.65,Pagėgių,7
Šilgalių,599,236,39.4,Pagėgių,8
Rambyno,922,415,45.01,Pagėgių,9
Vilkyškių,793,426,53.72,Pagėgių,10
Žukų,595,296,49.75,Pagėgių,11
Balsių,741,305,41.16,Pakruojo rajono,1
Bardiškių,452,196,43.36,Pakruojo rajono,2
Degesių,175,86,49.14,Pakruojo rajono,3
Degučių,226,137,60.62,Pakruojo rajono,4
Draudelių,183,76,41.53,Pakruojo rajono,5
Dvariškių,305,122,40.0,Pakruojo rajono,6
Gačionių,241,113,46.89,Pakruojo rajono,7
Gedučių,158,60,37.97,Pakruojo rajono,8
Guostagalio,760,227,29.87,Pakruojo rajono,9
Grikpėdžių,324,161,49.69,Pakruojo rajono,10
Klovainių,737,342,46.4,Pakruojo rajono,11
Kalpokų,320,111,34.69,Pakruojo rajono,12
Kauksnųjų,177,74,41.81,Pakruojo rajono,13
Laipuškių,193,112,58.03,Pakruojo rajono,14
Linksmučių,296,149,50.34,Pakruojo rajono,15
Linkuvos,1560,665,42.63,Pakruojo rajono,16
Linų,402,143,35.57,Pakruojo rajono,17
Lygumų,644,249,38.66,Pakruojo rajono,18
Mažeikonių,832,348,41.83,Pakruojo rajono,19
Mikniūnų,262,132,50.38,Pakruojo rajono,20
Medikonių,346,144,41.62,Pakruojo rajono,21
Mikoliškio,195,87,44.62,Pakruojo rajono,22
Naujamiesčio,2809,1340,47.7,Pakruojo rajono,23
Pakruojo,1928,919,47.67,Pakruojo rajono,24
Pamūšio,302,128,42.38,Pakruojo rajono,25
Pašvitinio,367,186,50.68,Pakruojo rajono,26
Peleniškių,190,102,53.68,Pakruojo rajono,27
Preičiūnų,242,113,46.69,Pakruojo rajono,28
Plaučiškių,301,145,48.17,Pakruojo rajono,30
Rimkūnų,178,84,47.19,Pakruojo rajono,31
Rozalimo,832,382,45.91,Pakruojo rajono,32
Stačiūnų,311,130,41.8,Pakruojo rajono,33
Sosdvario,127,64,50.39,Pakruojo rajono,34
Šukionių,369,144,39.02,Pakruojo rajono,35
Triškonių,372,116,31.18,Pakruojo rajono,36
Ūdekų,325,140,43.08,Pakruojo rajono,37
Žeimelio,941,370,39.32,Pakruojo rajono,38
Žvirblonių,347,154,44.38,Pakruojo rajono,39
Kaštonų,1783,931,52.22,Palangos miesto,1
Ateities,2693,1303,48.38,Palangos miesto,2
Saulės,4026,2078,51.61,Palangos miesto,3
Vilniaus,1302,874,67.13,Palangos miesto,4
Aikštės,2090,1248,59.71,Palangos miesto,5
Kauno,1482,739,49.87,Palangos miesto,6
Jūros,1599,838,52.41,Palangos miesto,7
Geležinkelio,3553,1715,48.27,Panevėžio miesto,1
Rožių,4291,2327,54.23,Panevėžio miesto,2
Šiaulių,2978,1239,41.61,Panevėžio miesto,3
Vienybės,2387,1073,44.95,Panevėžio miesto,4
Šermukšnių,3056,1362,44.57,Panevėžio miesto,5
V. Žemkalnio,2029,855,42.14,Panevėžio miesto,6
J.Balčikonio,2213,1239,55.99,Panevėžio miesto,7
Laisvės,2273,1177,51.78,Panevėžio miesto,8
Poliklinikos,2269,1157,50.99,Panevėžio miesto,9
Menų mokyklos,2788,1213,43.51,Panevėžio miesto,10
Danutės,2140,1097,51.26,Panevėžio miesto,11
Tulpių,2731,1337,48.96,Panevėžio miesto,12
Pilėnai,3764,1937,51.46,Panevėžio miesto,13
Nemuno,3975,1947,48.98,Panevėžio miesto,14
Žvaigždžių,4097,2009,49.04,Panevėžio miesto,15
Šermuto,4021,1864,46.36,Panevėžio miesto,16
Parko,2812,1327,47.19,Panevėžio miesto,17
Dariaus ir Girėno,3112,1539,49.45,Panevėžio miesto,18
A. Lipniūno,2583,1317,50.99,Panevėžio miesto,19
Klaipėdos,2210,1012,45.79,Panevėžio miesto,20
Žvaigždutės,2845,1346,47.31,Panevėžio miesto,21
Statybininkų,2769,1382,49.91,Panevėžio miesto,22
Kniaudiškių,3999,1792,44.81,Panevėžio miesto,23
Vandentiekio,2409,1120,46.49,Panevėžio miesto,24
Ukmergės,2451,1274,51.98,Panevėžio miesto,25
J.Miltinio,2912,1496,51.37,Panevėžio miesto,26
Staniūnų,2898,1231,42.48,Panevėžio miesto,27
Beržų,2865,1485,51.83,Panevėžio miesto,28
Ramygalos,1774,842,47.46,Panevėžio miesto,29
Geležių,600,272,45.33,Panevėžio rajono,1
Tiltagalių,721,313,43.41,Panevėžio rajono,2
Karsakiškio,557,212,38.06,Panevėžio rajono,3
Paliūniškio,552,254,46.01,Panevėžio rajono,4
Piniavos,1681,752,44.74,Panevėžio rajono,5
Bernatonių,1114,471,42.28,Panevėžio rajono,6
Paįstrio,1366,492,36.02,Panevėžio rajono,7
Daukniūnų,613,268,43.72,Panevėžio rajono,8
Krekenavos,2074,805,38.81,Panevėžio rajono,9
Žibartonių,831,276,33.21,Panevėžio rajono,11
Naujarodžių,406,144,35.47,Panevėžio rajono,12
Linkaučių,325,109,33.54,Panevėžio rajono,13
Upytės,620,309,49.84,Panevėžio rajono,14
Ėriškių,559,290,51.88,Panevėžio rajono,15
Liberiškio,557,154,27.65,Panevėžio rajono,16
Berniūnų,492,217,44.11,Panevėžio rajono,17
Naujamiesčio,1333,588,44.11,Panevėžio rajono,18
Gustonių,588,209,35.54,Panevėžio rajono,19
Smilgių,601,262,43.59,Panevėžio rajono,20
Sujėtų,316,171,54.11,Panevėžio rajono,21
Perekšlių,504,208,41.27,Panevėžio rajono,22
Uliūnų,663,243,36.65,Panevėžio rajono,23
Ramygalos,2121,922,43.47,Panevėžio rajono,24
Daniūnų,352,160,45.45,Panevėžio rajono,25
Raguvos,1120,509,45.45,Panevėžio rajono,26
Šilų,304,152,50.0,Panevėžio rajono,27
Miežiškių,691,353,51.09,Panevėžio rajono,28
Nevėžio,608,247,40.62,Panevėžio rajono,29
Trakiškio,857,337,39.32,Panevėžio rajono,30
Paežerio,878,472,53.76,Panevėžio rajono,31
Šilagalio,596,272,45.64,Panevėžio rajono,32
Dembavos,2265,1145,50.55,Panevėžio rajono,33
Velžio,2476,1256,50.73,Panevėžio rajono,34
Liūdynės,600,266,44.33,Panevėžio rajono,35
Katinų,360,143,39.72,Panevėžio rajono,36
Pažagienių,746,328,43.97,Panevėžio rajono,37
Vadoklių,903,389,43.08,Panevėžio rajono,38
Jotainių,706,277,39.24,Panevėžio rajono,39
Molainių,951,566,59.52,Panevėžio rajono,42
Mažėnių,229,92,40.17,Panevėžio rajono,43
Skaistgirių,416,154,37.02,Panevėžio rajono,44
Joniškėlio,1015,472,46.5,Pasvalio rajono,1
P.Vileišio,2255,1138,50.47,Pasvalio rajono,2
Kalno,2476,1116,45.07,Pasvalio rajono,3
Vilniaus,1940,890,45.88,Pasvalio rajono,4
Daujėnų,596,290,48.66,Pasvalio rajono,5
Girsūdų,494,198,40.08,Pasvalio rajono,6
Švobiškio,458,206,44.98,Pasvalio rajono,7
Norgėlų,233,96,41.2,Pasvalio rajono,8
Meškalaukio,505,195,38.61,Pasvalio rajono,9
Nakiškių,576,201,34.9,Pasvalio rajono,10
Narteikių,497,220,44.27,Pasvalio rajono,11
Krinčino,670,296,44.18,Pasvalio rajono,12
Gulbinėnų,245,109,44.49,Pasvalio rajono,13
Pajiešmenių,811,330,40.69,Pasvalio rajono,14
Papyvesių,787,339,43.07,Pasvalio rajono,15
Talačkonių,490,184,37.55,Pasvalio rajono,16
Ustukių,853,364,42.67,Pasvalio rajono,17
Valakėlių,401,169,42.14,Pasvalio rajono,18
Pumpėnų,930,381,40.97,Pasvalio rajono,19
Jurgėnų,556,252,45.32,Pasvalio rajono,20
Kriklinių,430,202,46.98,Pasvalio rajono,21
Rinkūnų,328,147,44.82,Pasvalio rajono,22
Pušaloto,789,354,44.87,Pasvalio rajono,23
Mikoliškio,564,233,41.31,Pasvalio rajono,24
Deglėnų,205,107,52.2,Pasvalio rajono,25
Kiemėnų,342,173,50.58,Pasvalio rajono,26
Namišių,445,231,51.91,Pasvalio rajono,27
Raubonių,663,257,38.76,Pasvalio rajono,28
Saločių,1042,408,39.16,Pasvalio rajono,29
Žadeikonių,197,130,65.99,Pasvalio rajono,30
Žilpamūšio,424,183,43.16,Pasvalio rajono,31
Grūžių,418,169,40.43,Pasvalio rajono,32
Nairių,371,155,41.78,Pasvalio rajono,33
Tetirvinų,600,256,42.67,Pasvalio rajono,34
Vaškų,860,343,39.88,Pasvalio rajono,35
Birutės,1864,667,35.78,Plungės rajono,1
Dariaus ir Girėno,1519,674,44.37,Plungės rajono,2
A.Jucio,3100,1311,42.29,Plungės rajono,3
Laisvės,2782,1241,44.61,Plungės rajono,4
V.Mačernio,2645,1228,46.43,Plungės rajono,5
Senamiesčio,1910,851,44.55,Plungės rajono,6
A.Vaišvilos,2374,1052,44.31,Plungės rajono,7
Aleksandravo,382,190,49.74,Plungės rajono,8
Alsėdžių,1027,351,34.18,Plungės rajono,9
Didvyčių,424,176,41.51,Plungės rajono,11
Gegrėnų,550,218,39.64,Plungės rajono,12
Gintališkės,401,159,39.65,Plungės rajono,14
Glaudžių,796,318,39.95,Plungės rajono,15
Grumblių,433,167,38.57,Plungės rajono,16
Karklėnų,618,204,33.01,Plungės rajono,17
Kontaučių,593,255,43.0,Plungės rajono,18
Kulių,1051,474,45.1,Plungės rajono,19
Milašaičių,327,162,49.54,Plungės rajono,21
Narvaišių,578,266,46.02,Plungės rajono,23
Nausodžio,1510,615,40.73,Plungės rajono,24
Platelių,1326,595,44.87,Plungės rajono,26
Stalgėnų,555,241,43.42,Plungės rajono,29
Stanelių,606,231,38.12,Plungės rajono,30
Šateikių,1034,366,35.4,Plungės rajono,31
Truikių,782,353,45.14,Plungės rajono,32
Žemaičių Kalvarijos,1146,476,41.54,Plungės rajono,34
Žlibinų,622,257,41.32,Plungės rajono,35
Prūsalių,979,354,36.16,Plungės rajono,37
Dariaus ir Girėno,2679,1360,50.77,Prienų rajono,1
J.Basanavičiaus,2030,1010,49.75,Prienų rajono,2
Kęstučio,1316,662,50.3,Prienų rajono,3
Statybininkų,2426,1166,48.06,Prienų rajono,4
Žemaitkiemio,375,158,42.13,Prienų rajono,5
Šiauliškių,597,221,37.02,Prienų rajono,6
Išlaužo,780,356,45.64,Prienų rajono,7
Naujosios Ūtos,425,212,49.88,Prienų rajono,8
Jiestrakio,434,187,43.09,Prienų rajono,9
Klebiškio,444,199,44.82,Prienų rajono,10
Šilavoto,589,203,34.47,Prienų rajono,11
Skriaudžių,1082,393,36.32,Prienų rajono,13
Juodbūdžio,539,253,46.94,Prienų rajono,14
Veiverių,1622,785,48.4,Prienų rajono,15
Balbieriškio miestelio,847,404,47.7,Prienų rajono,16
Jiezno miesto,1011,546,54.01,Prienų rajono,17
Jiezno kaimiškoji,728,328,45.05,Prienų rajono,18
Kašonių,649,344,53.0,Prienų rajono,19
Vėžionių,301,107,35.55,Prienų rajono,20
Ašmintos,600,257,42.83,Prienų rajono,21
Strielčių,776,325,41.88,Prienų rajono,22
Balbieriškio kaimiškoji,763,277,36.3,Prienų rajono,23
Paprūdžių,609,280,45.98,Prienų rajono,24
Žiūronių,285,99,34.74,Prienų rajono,25
Pakuonio,884,415,46.95,Prienų rajono,29
Purvininkų,223,89,39.91,Prienų rajono,30
Vyšniūnų,702,291,41.45,Prienų rajono,31
Užuguosčio,352,188,53.41,Prienų rajono,32
Pieštuvėnų,508,170,33.46,Prienų rajono,33
Stakliškių,802,359,44.76,Prienų rajono,34
Acokavų,306,103,33.66,Radviliškio rajono,1
Alksniupių,815,336,41.23,Radviliškio rajono,2
Aukštelkų,936,361,38.57,Radviliškio rajono,3
Baisogalos,2039,996,48.85,Radviliškio rajono,4
Beinoravos,434,212,48.85,Radviliškio rajono,5
Butėnų,340,113,33.24,Radviliškio rajono,6
Daugėlaičių,441,157,35.6,Radviliškio rajono,7
Gražionių,535,223,41.68,Radviliškio rajono,8
Gražiškių,138,70,50.72,Radviliškio rajono,9
Grinkiškio,763,330,43.25,Radviliškio rajono,10
Kairėnų,234,102,43.59,Radviliškio rajono,12
Karčemų,593,227,38.28,Radviliškio rajono,13
Kutiškių,640,266,41.56,Radviliškio rajono,14
Miežaičių,230,95,41.3,Radviliškio rajono,15
Minaičių,167,81,48.5,Radviliškio rajono,16
Pakiršinio,856,365,42.64,Radviliškio rajono,17
Palonų,408,140,34.31,Radviliškio rajono,18
Papušynio,249,100,40.16,Radviliškio rajono,19
Pašušvio,492,207,42.07,Radviliškio rajono,20
Pavartyčių,643,253,39.35,Radviliškio rajono,21
Pociūnų,419,191,45.58,Radviliškio rajono,22
Pociūnėlių,581,245,42.17,Radviliškio rajono,23
Polekėlės,364,172,47.25,Radviliškio rajono,24
Vaižganto,2356,1028,43.63,Radviliškio rajono,25
Lituanikos,2006,958,47.76,Radviliškio rajono,26
Kudirkos,2092,1099,52.53,Radviliškio rajono,27
Rūmų,2472,997,40.33,Radviliškio rajono,28
Lizdeikos,2413,1119,46.37,Radviliškio rajono,29
Raudondvario,898,318,35.41,Radviliškio rajono,30
Sidabravo,808,355,43.94,Radviliškio rajono,31
Skėmių,470,214,45.53,Radviliškio rajono,32
Šaukoto,590,258,43.73,Radviliškio rajono,33
Šeduvos,1099,550,50.05,Radviliškio rajono,34
Mokyklos,1206,499,41.38,Radviliškio rajono,35
Šiaulėnų,724,307,42.4,Radviliškio rajono,36
Šniūraičių,649,264,40.68,Radviliškio rajono,37
Tyrulių,381,173,45.41,Radviliškio rajono,38
Vadaktų,256,113,44.14,Radviliškio rajono,39
Vaitiekūnų,246,104,42.28,Radviliškio rajono,40
Vėriškių,638,233,36.52,Radviliškio rajono,41
Žeimių,286,82,28.67,Radviliškio rajono,43
Eibariškių,2628,1154,43.91,Radviliškio rajono,44
Prabaudos,2472,1190,48.14,Raseinių rajono,1
Stonų,2272,1089,47.93,Raseinių rajono,2
Centro,1820,913,50.16,Raseinių rajono,3
Pramonės,2769,1262,45.58,Raseinių rajono,4
Kalnujų,505,229,45.35,Raseinių rajono,5
Pašaltuonio,215,119,55.35,Raseinių rajono,6
Sujainių,1045,459,43.92,Raseinių rajono,7
Slabados,395,195,49.37,Raseinių rajono,8
Viduklės,2064,856,41.47,Raseinių rajono,9
Paupio,228,112,49.12,Raseinių rajono,10
Pryšmančių,636,259,40.72,Raseinių rajono,11
Nemakščių,1138,540,47.45,Raseinių rajono,12
Kryžkalnio,506,194,38.34,Raseinių rajono,13
Ariogalos,1523,740,48.59,Raseinių rajono,14
Šarkių,350,154,44.0,Raseinių rajono,15
Gėluvos,487,298,61.19,Raseinių rajono,16
Dainavos,267,146,54.68,Raseinių rajono,17
Butkiškės,505,298,59.01,Raseinių rajono,18
Verėduvos,454,214,47.14,Raseinių rajono,19
Milašaičių,346,200,57.8,Raseinių rajono,20
Paliepių,388,199,51.29,Raseinių rajono,21
Pramedžiavos,509,249,48.92,Raseinių rajono,22
Girkalnio,942,476,50.53,Raseinių rajono,23
Požėčių,298,165,55.37,Raseinių rajono,24
Grajauskų,170,88,51.76,Raseinių rajono,25
Betygalos,503,290,57.65,Raseinių rajono,26
Berteškių,414,207,50.0,Raseinių rajono,27
Ilgižių,439,246,56.04,Raseinių rajono,28
Steponkaimio,151,104,68.87,Raseinių rajono,29
Kaulakių,521,211,40.5,Raseinių rajono,30
Skirmantiškės,350,163,46.57,Raseinių rajono,31
Vosiliškio,340,167,49.12,Raseinių rajono,32
Šiluvos,723,381,52.7,Raseinių rajono,33
Lyduvėnų,276,137,49.64,Raseinių rajono,34
Katauskių,519,264,50.87,Raseinių rajono,35
Žaiginio,568,259,45.6,Raseinių rajono,36
Ramonų,373,225,60.32,Raseinių rajono,37
Gruzdiškės,503,281,55.86,Raseinių rajono,38
Norgėlų,594,331,55.72,Raseinių rajono,39
Lenkelių,176,86,48.86,Raseinių rajono,40
Gabšių,392,207,52.81,Raseinių rajono,41
Bebirvos,133,72,54.14,Raseinių rajono,42
Alėjų,201,133,66.17,Raseinių rajono,43
Gervinės,166,100,60.24,Raseinių rajono,44
Melioratorių,1347,651,48.33,Raseinių rajono,45
Didžiulių,319,195,61.13,Raseinių rajono,46
Daugėdų,360,195,54.17,Rietavo,1
Giliogirio,249,113,45.38,Rietavo,2
Labardžių,301,150,49.83,Rietavo,3
Medingėnų,457,176,38.51,Rietavo,4
Pelaičių,660,262,39.7,Rietavo,5
Rietavo,2361,1145,48.5,Rietavo,6
Sauslaukio,1943,882,45.39,Rietavo,7
Tverų,1109,426,38.41,Rietavo,8
J.Tumo-Vaižganto,2354,1117,47.45,Rokiškio rajono,1
Senamiesčio,2533,1224,48.32,Rokiškio rajono,2
Mikrorajono,1754,895,51.03,Rokiškio rajono,3
J.Tūbelio,2620,1249,47.67,Rokiškio rajono,4
Respublikos,2476,1211,48.91,Rokiškio rajono,5
Bajorų,858,442,51.52,Rokiškio rajono,6
Čedasų,220,98,44.55,Rokiškio rajono,7
Kavoliškio,1463,621,42.45,Rokiškio rajono,8
Skemų,618,232,37.54,Rokiškio rajono,9
Žiobiškio,473,211,44.61,Rokiškio rajono,10
Kazliškio,447,230,51.45,Rokiškio rajono,11
Konstantinavos,197,96,48.73,Rokiškio rajono,12
Obelių,880,442,50.23,Rokiškio rajono,13
Pandėlio,1493,614,41.13,Rokiškio rajono,14
Juodupės,1536,808,52.6,Rokiškio rajono,15
Juodupės kaimiškoji,1075,473,44.0,Rokiškio rajono,16
Lukštų,275,123,44.73,Rokiškio rajono,18
