232 05 1 19 Oberhausen, Stadt NW 45,6
233 06 4 32 Darmstadt-Dieburg HE 45,6
234 12 0 64 Märkisch-Oderland BB 45,6
235 01 0 04 Neumünster, Stadt SH 45,4
236 15 0 81 Altmarkkreis Salzwedel ST 45,4
237 06 4 31 Bergstraße HE 45,3
238 14 7 30 Nordsachsen SN 45,3
239 05 5 13 Gelsenkirchen, Stadt NW 45,2
240 13 0 73 Vorpommern-Rügen MV 45,2
241 15 0 87 Mansfeld-Südharz ST 45,2
242 16 0 54 Suhl, Stadt TH 45,2
243 05 1 16 Mönchengladbach, Stadt NW 45,1
244 12 0 60 Barnim BB 45,1
245 13 0 04 Schwerin MV 45,1
246 07 3 14 Ludwigshafen am Rhein, kreisfreie Stadt RP 45,0
247 07 3 17 Pirmasens, kreisfreie Stadt RP 44,9
248 09 5 74 Nürnberger Land BY 44,7
249 15 0 88 Saalekreis ST 44,7
250 03 4 01 Delmenhorst, Stadt NI 44,6
251 09 6 78 Schweinfurt BY 44,6
252 06 4 12 Frankfurt am Main, Stadt HE 44,5
253 14 5 11 Chemnitz, Stadt SN 44,5
254 09 4 74 Forchheim BY 44,4
255 12 0 72 Teltow-Fläming BB 44,4
256 09 1 90 Weilheim-Schongau BY 44,2
257 08 2 22 Mannheim, Universitätsstadt BW 44,1
258 09 1 76 Eichstätt BY 44,1
259 09 5 73 Fürth BY 44,1
260 05 9 16 Herne, Stadt NW 44,0
261 09 1 73 Bad Tölz-Wolfratshausen BY 43,8
262 09 1 86 Pfaffenhofen a.d.Ilm BY 43,8
263 07 3 12 Kaiserslautern, kreisfreie Stadt RP 43,7
264 07 3 20 Zweibrücken, kreisfreie Stadt RP 43,7
265 09 1 81 Landsberg am Lech BY 43,7
266 12 0 73 Uckermark BB 43,7
267 02 0 00 Hamburg, Freie und Hansestadt HH 43,5
268 09 1 74 Dachau BY 43,5
269 16 0 52 Gera, Stadt TH 43,5
270 06 4 37 Odenwaldkreis HE 43,4
271 09 1 78 Freising BY 43,4
272 03 1 56 Osterode am Harz NI 43,3
273 06 4 38 Offenbach HE 43,2
274 06 6 34 Schwalm-Eder-Kreis HE 43,2
275 09 6 75 Kitzingen BY 43,2
276 03 2 56 Nienburg (Weser) NI 43,1
277 15 0 83 Börde ST 42,9
278 09 1 80 Garmisch-Partenkirchen BY 42,8
279 15 0 90 Stendal ST 42,8
280 09 3 73 Neumarkt i.d.OPf. BY 42,7
281 09 5 76 Roth BY 42,7
282 09 6 74 Haßberge BY 42,7
283 05 1 12 Duisburg, Stadt NW 42,6
284 09 5 75 Neustadt a.d.Aisch-Bad Windsheim BY 42,6
285 14 7 13 Leipzig, Stadt SN 42,6
286 15 0 82 Anhalt-Bitterfeld ST 42,6
287 01 0 55 Ostholstein SH 42,5
288 08 1 21 Heilbronn, Stadt BW 42,5
289 03 1 54 Helmstedt NI 42,4
290 12 0 70 Prignitz BB 42,4
291 01 0 60 Segeberg SH 42,3
292 03 4 61 Wesermarsch NI 42,3
293 06 6 36 Werra-Meißner-Kreis HE 42,3
294 09 1 85 Neuburg-Schrobenhausen BY 42,3
295 09 3 75 Regensburg BY 42,3
296 09 1 77 Erding BY 42,2
297 12 0 68 Ostprignitz-Ruppin BB 42,2
298 01 0 59 Schleswig-Flensburg SH 42,1
299 01 0 61 Steinburg SH 42,1
300 06 4 33 Groß-Gerau HE 42,1
301 09 6 77 Main-Spessart BY 42,1
302 09 1 82 Miesbach BY 42,0
303 09 7 80 Oberallgäu BY 41,9
304 06 5 35 Vogelsbergkreis HE 41,8
305 09 1 87 Rosenheim BY 41,7
306 09 6 63 Würzburg, Stadt BY 41,7
307 09 6 72 Bad Kissingen BY 41,7
308 04 0 11 Bremen, Stadt HB 41,5
309 06 4 14 Wiesbaden, Landeshauptstadt HE 41,5
310 09 5 65 Schwabach, Stadt BY 41,5
311 12 0 53 Frankfurt (Oder), Stadt BB 41,5
312 03 1 03 Wolfsburg, Stadt NI 41,3
313 06 6 33 Kassel HE 41,3
314 09 5 77 Weißenburg-Gunzenhausen BY 41,3
315 09 7 71 Aichach-Friedberg BY 41,3
316 01 0 54 Nordfriesland SH 41,2
317 09 5 64 Nürnberg, Stadt BY 41,1
318 09 6 73 Rhön-Grabfeld BY 41,1
319 06 5 31 Gießen HE 41,0
320 09 3 74 Neustadt a.d.Waldnaab BY 41,0
321 13 0 03 Rostock MV 41,0
322 09 7 77 Ostallgäu BY 40,9
323 15 0 85 Harz ST 40,8
324 09 4 72 Bayreuth BY 40,7
325 09 3 71 Amberg-Sulzbach BY 40,6
326 09 7 79 Donau-Ries BY 40,6
327 15 0 02 Halle (Saale), Stadt ST 40,6
328 15 0 89 Salzlandkreis ST 40,6
329 09 4 75 Hof BY 40,5
330 09 4 71 Bamberg BY 40,4
331 01 0 02 Kiel, Landeshauptstadt SH 40,3
332 06 4 40 Wetteraukreis HE 40,3
333 09 3 62 Regensburg, Stadt BY 40,3
