commune,voters,eligible,turnout,district,region
Veľký Slivník,33.0,242.0,13.63,Prešov,Prešovský
Víťaz,136.0,1516.0,8.97,Prešov,Prešovský
Vyšná Šebastová,163.0,921.0,17.69,Prešov,Prešovský
Vysoká,21.0,109.0,19.26,Prešov,Prešovský
Záborské,100.0,526.0,19.01,Prešov,Prešovský
Záhradné,92.0,797.0,11.54,Prešov,Prešovský
Žehňa,44.0,645.0,6.82,Prešov,Prešovský
Žipov,52.0,213.0,24.41,Prešov,Prešovský
Zlatá Baňa,63.0,370.0,17.02,Prešov,Prešovský
Župčany,133.0,1122.0,11.85,Prešov,Prešovský
Chmeľnica,102.0,760.0,13.42,Stará Ľubovňa,Prešovský
Čirč,57.0,836.0,6.81,Stará Ľubovňa,Prešovský
Ďurková,37.0,185.0,20.0,Stará Ľubovňa,Prešovský
Forbasy,65.0,346.0,18.78,Stará Ľubovňa,Prešovský
Hajtovka,39.0,78.0,50.0,Stará Ľubovňa,Prešovský
Haligovce,33.0,497.0,6.63,Stará Ľubovňa,Prešovský
Hniezdne,113.0,1118.0,10.1,Stará Ľubovňa,Prešovský
Hraničné,22.0,158.0,13.92,Stará Ľubovňa,Prešovský
Hromoš,168.0,401.0,41.89,Stará Ľubovňa,Prešovský
Jakubany,122.0,1899.0,6.47,Stará Ľubovňa,Prešovský
Jarabina,101.0,706.0,14.3,Stará Ľubovňa,Prešovský
Kamienka,155.0,1099.0,14.1,Stará Ľubovňa,Prešovský
Kolačkov,68.0,779.0,8.72,Stará Ľubovňa,Prešovský
Kremná,10.0,72.0,13.88,Stará Ľubovňa,Prešovský
Kyjov,117.0,543.0,21.54,Stará Ľubovňa,Prešovský
Lacková,41.0,142.0,28.87,Stará Ľubovňa,Prešovský
Legnava,35.0,74.0,47.29,Stará Ľubovňa,Prešovský
Lesnica,94.0,378.0,24.86,Stará Ľubovňa,Prešovský
Litmanová,73.0,531.0,13.74,Stará Ľubovňa,Prešovský
Lomnička,38.0,1142.0,3.32,Stará Ľubovňa,Prešovský
Ľubotín,120.0,1006.0,11.92,Stará Ľubovňa,Prešovský
Malý Lipník,63.0,360.0,17.5,Stará Ľubovňa,Prešovský
Matysová,39.0,80.0,48.75,Stará Ľubovňa,Prešovský
Mníšek nad Popradom,83.0,474.0,17.51,Stará Ľubovňa,Prešovský
Nižné Ružbachy,60.0,518.0,11.58,Stará Ľubovňa,Prešovský
Nová Ľubovňa,310.0,2240.0,13.88,Stará Ľubovňa,Prešovský
Obručné,22.0,35.0,62.85,Stará Ľubovňa,Prešovský
Orlov,81.0,520.0,15.57,Stará Ľubovňa,Prešovský
Plaveč,117.0,1436.0,8.14,Stará Ľubovňa,Prešovský
Plavnica,166.0,1209.0,13.73,Stará Ľubovňa,Prešovský
Podolínec,225.0,2464.0,9.13,Stará Ľubovňa,Prešovský
Pusté Pole,27.0,174.0,15.51,Stará Ľubovňa,Prešovský
Ruská Voľa nad Popradom,33.0,84.0,39.28,Stará Ľubovňa,Prešovský
Šambron,166.0,346.0,48.26,Stará Ľubovňa,Prešovský
Šarišské Jastrabie,112.0,845.0,13.25,Stará Ľubovňa,Prešovský
Stará Ľubovňa,1661.0,12493.0,13.31,Stará Ľubovňa,Prešovský
Starina,26.0,48.0,54.16,Stará Ľubovňa,Prešovský
Stráňany,48.0,155.0,30.96,Stará Ľubovňa,Prešovský
Sulín,36.0,299.0,12.04,Stará Ľubovňa,Prešovský
Údol,115.0,323.0,35.6,Stará Ľubovňa,Prešovský
Veľká Lesná,44.0,342.0,12.86,Stará Ľubovňa,Prešovský
Veľký Lipník,93.0,761.0,12.22,Stará Ľubovňa,Prešovský
Vislanka,53.0,213.0,24.88,Stará Ľubovňa,Prešovský
Vyšné Ružbachy,102.0,1074.0,9.59,Stará Ľubovňa,Prešovský
Baňa,37.0,161.0,22.98,Stropkov,Prešovský
Breznica,85.0,614.0,13.84,Stropkov,Prešovský
Breznička,29.0,112.0,25.89,Stropkov,Prešovský
Brusnica,49.0,265.0,18.49,Stropkov,Prešovský
Bukovce,50.0,413.0,12.1,Stropkov,Prešovský
Bystrá,26.0,41.0,63.41,Stropkov,Prešovský
Bžany,34.0,146.0,23.28,Stropkov,Prešovský
Chotča,59.0,457.0,12.91,Stropkov,Prešovský
Duplín,43.0,393.0,10.94,Stropkov,Prešovský
Gribov,27.0,160.0,16.87,Stropkov,Prešovský
Havaj,44.0,312.0,14.1,Stropkov,Prešovský
Jakušovce,20.0,48.0,41.66,Stropkov,Prešovský
Kolbovce,34.0,152.0,22.36,Stropkov,Prešovský
Korunková,26.0,83.0,31.32,Stropkov,Prešovský
Kožuchovce,20.0,58.0,34.48,Stropkov,Prešovský
Krišľovce,18.0,39.0,46.15,Stropkov,Prešovský
Kručov,30.0,178.0,16.85,Stropkov,Prešovský
Krušinec,28.0,200.0,14.0,Stropkov,Prešovský
Lomné,43.0,218.0,19.72,Stropkov,Prešovský
Makovce,57.0,126.0,45.23,Stropkov,Prešovský
Malá Poľana,41.0,94.0,43.61,Stropkov,Prešovský
Miková,38.0,124.0,30.64,Stropkov,Prešovský
Miňovce,49.0,275.0,17.81,Stropkov,Prešovský
Mrázovce,27.0,83.0,32.53,Stropkov,Prešovský
Nižná Olšava,54.0,292.0,18.49,Stropkov,Prešovský
Oľšavka,29.0,196.0,14.79,Stropkov,Prešovský
Potôčky,28.0,65.0,43.07,Stropkov,Prešovský
Potoky,29.0,81.0,35.8,Stropkov,Prešovský
Šandal,32.0,248.0,12.9,Stropkov,Prešovský
Soľník,11.0,39.0,28.2,Stropkov,Prešovský
Staškovce,42.0,193.0,21.76,Stropkov,Prešovský
Stropkov,907.0,8237.0,11.01,Stropkov,Prešovský
Tisinec,48.0,332.0,14.45,Stropkov,Prešovský
Tokajík,29.0,98.0,29.59,Stropkov,Prešovský
Turany nad Ondavou,47.0,337.0,13.94,Stropkov,Prešovský
Varechovce,47.0,145.0,32.41,Stropkov,Prešovský
Veľkrop,29.0,171.0,16.95,Stropkov,Prešovský
Vislava,38.0,181.0,20.99,Stropkov,Prešovský
Vladiča,30.0,50.0,60.0,Stropkov,Prešovský
Vojtovce,28.0,103.0,27.18,Stropkov,Prešovský
Vyškovce,31.0,123.0,25.2,Stropkov,Prešovský
Vyšná Olšava,83.0,483.0,17.39,Stropkov,Prešovský
Vyšný Hrabovec,73.0,145.0,51.03,Stropkov,Prešovský
Belejovce,11.0,28.0,39.28,Svidník,Prešovský
Beňadikovce,41.0,201.0,20.39,Svidník,Prešovský
Bodružal,29.0,57.0,50.87,Svidník,Prešovský
Cernina,80.0,461.0,17.35,Svidník,Prešovský
Cigla,28.0,85.0,32.94,Svidník,Prešovský
Dlhoňa,25.0,58.0,43.1,Svidník,Prešovský
Dobroslava,20.0,38.0,55.26,Svidník,Prešovský
Dubová,42.0,200.0,21.0,Svidník,Prešovský
Dukovce,49.0,216.0,22.68,Svidník,Prešovský
Fijaš,46.0,124.0,37.9,Svidník,Prešovský
Giraltovce,328.0,3054.0,10.74,Svidník,Prešovský
Havranec,10.0,19.0,52.63,Svidník,Prešovský
Hrabovčík,43.0,244.0,17.62,Svidník,Prešovský
Hunkovce,37.0,259.0,14.28,Svidník,Prešovský
Jurkova Voľa,16.0,75.0,21.33,Svidník,Prešovský
Kalnište,60.0,422.0,14.21,Svidník,Prešovský
Kapišová,46.0,323.0,14.24,Svidník,Prešovský
Kečkovce,50.0,197.0,25.38,Svidník,Prešovský
Kobylnice,23.0,86.0,26.74,Svidník,Prešovský
Korejovce,24.0,61.0,39.34,Svidník,Prešovský
Kračúnovce,114.0,920.0,12.39,Svidník,Prešovský
Krajná Bystrá,78.0,282.0,27.65,Svidník,Prešovský
Krajná Poľana,43.0,153.0,28.1,Svidník,Prešovský
Krajná Porúbka,16.0,51.0,31.37,Svidník,Prešovský
Krajné Čierno,25.0,66.0,37.87,Svidník,Prešovský
Kružlová,64.0,462.0,13.85,Svidník,Prešovský
Kuková,82.0,567.0,14.46,Svidník,Prešovský
Kurimka,98.0,309.0,31.71,Svidník,Prešovský
Ladomirová,62.0,730.0,8.49,Svidník,Prešovský
Lúčka,44.0,398.0,11.05,Svidník,Prešovský
Lužany pri Topli,50.0,203.0,24.63,Svidník,Prešovský
Matovce,30.0,109.0,27.52,Svidník,Prešovský
Medvedie,31.0,50.0,62.0,Svidník,Prešovský
Mestisko,68.0,383.0,17.75,Svidník,Prešovský
Mičakovce,35.0,113.0,30.97,Svidník,Prešovský
Miroľa,33.0,69.0,47.82,Svidník,Prešovský
Mlynárovce,86.0,175.0,49.14,Svidník,Prešovský
Nižná Jedľová,22.0,81.0,27.16,Svidník,Prešovský
Nižná Pisaná,28.0,72.0,38.88,Svidník,Prešovský
Nižný Komárnik,36.0,133.0,27.06,Svidník,Prešovský
Nižný Mirošov,37.0,223.0,16.59,Svidník,Prešovský
Nižný Orlík,57.0,256.0,22.26,Svidník,Prešovský
Nová Polianka,21.0,51.0,41.17,Svidník,Prešovský
Okrúhle,60.0,535.0,11.58,Svidník,Prešovský
Príkra,14.0,18.0,77.77,Svidník,Prešovský
Pstriná,22.0,63.0,34.92,Svidník,Prešovský
Radoma,158.0,362.0,43.64,Svidník,Prešovský
Rakovčík,42.0,129.0,32.55,Svidník,Prešovský
Rovné,41.0,394.0,10.4,Svidník,Prešovský
Roztoky,30.0,244.0,12.29,Svidník,Prešovský
Šarbov,17.0,24.0,70.83,Svidník,Prešovský
Šarišský Štiavnik,31.0,232.0,13.36,Svidník,Prešovský
Šemetkovce,19.0,84.0,22.61,Svidník,Prešovský
Soboš,42.0,108.0,38.88,Svidník,Prešovský
Štefurov,15.0,98.0,15.3,Svidník,Prešovský
Stročín,50.0,399.0,12.53,Svidník,Prešovský
Svidnička,25.0,125.0,20.0,Svidník,Prešovský
Svidník,967.0,9147.0,10.59,Svidník,Prešovský
Vagrinec,29.0,115.0,25.21,Svidník,Prešovský
Valkovce,26.0,184.0,14.13,Svidník,Prešovský
Vápeník,18.0,44.0,40.9,Svidník,Prešovský
Vyšná Jedľová,51.0,165.0,30.9,Svidník,Prešovský
Vyšná Pisaná,21.0,66.0,31.81,Svidník,Prešovský
Vyšný Komárnik,22.0,73.0,30.13,Svidník,Prešovský
Vyšný Mirošov,112.0,446.0,25.11,Svidník,Prešovský
Vyšný Orlík,56.0,334.0,16.76,Svidník,Prešovský
Železník,64.0,368.0,17.39,Svidník,Prešovský
Želmanovce,29.0,267.0,10.86,Svidník,Prešovský
Babie,54.0,200.0,27.0,Vranov nad Topľou,Prešovský
Banské,80.0,1139.0,7.02,Vranov nad Topľou,Prešovský
Benkovce,57.0,421.0,13.53,Vranov nad Topľou,Prešovský
Bystré,187.0,2146.0,8.71,Vranov nad Topľou,Prešovský
Cabov,55.0,328.0,16.76,Vranov nad Topľou,Prešovský
Čaklov,173.0,1784.0,9.69,Vranov nad Topľou,Prešovský
Čičava,47.0,731.0,6.42,Vranov nad Topľou,Prešovský
Čierne nad Topľou,80.0,625.0,12.8,Vranov nad Topľou,Prešovský
Ďapalovce,52.0,359.0,14.48,Vranov nad Topľou,Prešovský
Davidov,64.0,662.0,9.66,Vranov nad Topľou,Prešovský
Detrík,18.0,48.0,37.5,Vranov nad Topľou,Prešovský
Dlhé Klčovo,101.0,1088.0,9.28,Vranov nad Topľou,Prešovský
Ďurďoš,16.0,187.0,8.55,Vranov nad Topľou,Prešovský
Giglovce,22.0,144.0,15.27,Vranov nad Topľou,Prešovský
Girovce,35.0,66.0,53.03,Vranov nad Topľou,Prešovský
Hanušovce nad Topľou,232.0,2819.0,8.22,Vranov nad Topľou,Prešovský
Hencovce,109.0,1003.0,10.86,Vranov nad Topľou,Prešovský
Hermanovce nad Topľou,67.0,560.0,11.96,Vranov nad Topľou,Prešovský
Hlinné,81.0,1226.0,6.6,Vranov nad Topľou,Prešovský
Holčíkovce,51.0,342.0,14.91,Vranov nad Topľou,Prešovský
Jasenovce,62.0,183.0,33.87,Vranov nad Topľou,Prešovský
Jastrabie nad Topľou,70.0,348.0,20.11,Vranov nad Topľou,Prešovský
Juskova Voľa,50.0,254.0,19.68,Vranov nad Topľou,Prešovský
Kamenná Poruba,67.0,815.0,8.22,Vranov nad Topľou,Prešovský
Kladzany,53.0,455.0,11.64,Vranov nad Topľou,Prešovský
Komárany,94.0,386.0,24.61,Vranov nad Topľou,Prešovský
Kučín,23.0,380.0,6.05,Vranov nad Topľou,Prešovský
Kvakovce,27.0,353.0,7.64,Vranov nad Topľou,Prešovský
Majerovce,51.0,364.0,14.01,Vranov nad Topľou,Prešovský
Malá Domaša,108.0,362.0,29.83,Vranov nad Topľou,Prešovský
Matiaška,26.0,219.0,11.87,Vranov nad Topľou,Prešovský
Medzianky,41.0,262.0,15.64,Vranov nad Topľou,Prešovský
Merník,44.0,502.0,8.76,Vranov nad Topľou,Prešovský
Michalok,45.0,261.0,17.24,Vranov nad Topľou,Prešovský
Nižný Hrabovec,106.0,1268.0,8.35,Vranov nad Topľou,Prešovský
Nižný Hrušov,122.0,1328.0,9.26,Vranov nad Topľou,Prešovský
Nižný Kručov,47.0,333.0,14.11,Vranov nad Topľou,Prešovský
Nová Kelča,66.0,286.0,23.07,Vranov nad Topľou,Prešovský
Ondavské Matiašovce,72.0,607.0,11.86,Vranov nad Topľou,Prešovský
Pavlovce,67.0,579.0,11.57,Vranov nad Topľou,Prešovský
Petkovce,20.0,126.0,15.87,Vranov nad Topľou,Prešovský
Petrovce,40.0,368.0,10.86,Vranov nad Topľou,Prešovský
Piskorovce,18.0,137.0,13.13,Vranov nad Topľou,Prešovský
Poša,39.0,626.0,6.38,Vranov nad Topľou,Prešovský
Prosačov,28.0,140.0,20.0,Vranov nad Topľou,Prešovský
Radvanovce,12.0,171.0,7.01,Vranov nad Topľou,Prešovský
Rafajovce,29.0,138.0,21.01,Vranov nad Topľou,Prešovský
Remeniny,42.0,227.0,18.5,Vranov nad Topľou,Prešovský
Rudlov,73.0,500.0,14.6,Vranov nad Topľou,Prešovský
Ruská Voľa,20.0,57.0,35.08,Vranov nad Topľou,Prešovský
Sačurov,115.0,1561.0,7.43,Vranov nad Topľou,Prešovský
Sečovská Polianka,190.0,2164.0,8.78,Vranov nad Topľou,Prešovský
Sedliská,140.0,1030.0,13.59,Vranov nad Topľou,Prešovský
Skrabské,52.0,562.0,9.25,Vranov nad Topľou,Prešovský
Slovenská Kajňa,57.0,662.0,8.61,Vranov nad Topľou,Prešovský
Soľ,241.0,1745.0,13.81,Vranov nad Topľou,Prešovský
Štefanovce,17.0,100.0,17.0,Vranov nad Topľou,Prešovský
Tovarné,130.0,804.0,16.16,Vranov nad Topľou,Prešovský
Tovarnianska Polianka,21.0,100.0,21.0,Vranov nad Topľou,Prešovský
Vavrinec,18.0,61.0,29.5,Vranov nad Topľou,Prešovský
Vechec,135.0,1682.0,8.14,Vranov nad Topľou,Prešovský
Vlača,28.0,189.0,14.81,Vranov nad Topľou,Prešovský
Vranov nad Topľou,1833.0,18070.0,10.14,Vranov nad Topľou,Prešovský
Vyšný Kazimír,22.0,158.0,13.92,Vranov nad Topľou,Prešovský
Vyšný Žipov,68.0,959.0,7.09,Vranov nad Topľou,Prešovský
Žalobín,109.0,588.0,18.53,Vranov nad Topľou,Prešovský
Zámutov,184.0,2134.0,8.66,Vranov nad Topľou,Prešovský
Zlatník,25.0,70.0,35.71,Vranov nad Topľou,Prešovský
Košice-Barca,524.0,2877.0,18.24,Košice,Košický
Košice-Dargovských hrdinov,2529.0,22674.0,11.17,Košice,Košický
Košice-Džungľa,47.0,489.0,9.61,Košice,Košický
Košice-Juh,3068.0,19079.0,16.09,Košice,Košický
Košice-Kavečany,109.0,991.0,10.99,Košice,Košický
Košice-Košická Nová Ves,274.0,2094.0,13.08,Košice,Košický
Košice-Krásna,367.0,3359.0,10.95,Košice,Košický
Košice-Lorinčík,80.0,414.0,19.32,Košice,Košický
Košice-Luník IX,28.0,3745.0,0.74,Košice,Košický
Košice-Myslava,265.0,1678.0,15.85,Košice,Košický
Košice-Nad jazerom,2601.0,20212.0,12.88,Košice,Košický
Košice-Pereš,182.0,1379.0,13.19,Košice,Košický
Košice-Poľov,88.0,888.0,9.9,Košice,Košický
Košice-Šaca,303.0,4101.0,7.38,Košice,Košický
Košice-Šebastovce,89.0,537.0,16.57,Košice,Košický
Košice-Sever,2916.0,16727.0,17.49,Košice,Košický
Košice-Sídlisko KVP,2338.0,20677.0,11.3,Košice,Košický
Košice-Sídlisko Ťahanovce,1755.0,18450.0,9.51,Košice,Košický
Košice-Staré Mesto,3169.0,17890.0,17.74,Košice,Košický
Košice-Ťahanovce,224.0,1676.0,13.42,Košice,Košický
Košice-Vyšné Opátske,274.0,1588.0,17.31,Košice,Košický
Košice-Západ,4533.0,33202.0,13.67,Košice,Košický
Bačkovík,30.0,325.0,9.23,Košice - okolie,Košický
Baška,55.0,412.0,13.34,Košice - okolie,Košický
Belža,35.0,324.0,10.8,Košice - okolie,Košický
Beniakovce,69.0,512.0,13.47,Košice - okolie,Košický
Bidovce,89.0,1040.0,8.55,Košice - okolie,Košický
Blažice,48.0,440.0,10.9,Košice - okolie,Košický
Bočiar,13.0,191.0,6.8,Košice - okolie,Košický
Bohdanovce,56.0,822.0,6.81,Košice - okolie,Košický
Boliarov,29.0,462.0,6.27,Košice - okolie,Košický
Budimír,143.0,895.0,16.08,Košice - okolie,Košický
Bukovec,88.0,682.0,12.9,Košice - okolie,Košický
Bunetice,20.0,71.0,28.16,Košice - okolie,Košický
Buzica,134.0,953.0,14.06,Košice - okolie,Košický
Čakanovce,39.0,437.0,8.92,Košice - okolie,Košický
Čaňa,350.0,4157.0,8.41,Košice - okolie,Košický
Čečejovce,185.0,1652.0,11.19,Košice - okolie,Košický
Cestice,87.0,689.0,12.62,Košice - okolie,Košický
Chorváty,38.0,94.0,40.42,Košice - okolie,Košický
Chrastné,46.0,353.0,13.03,Košice - okolie,Košický
Čižatice,73.0,316.0,23.1,Košice - okolie,Košický
Debraď,155.0,318.0,48.74,Košice - okolie,Košický
Drienovec,115.0,1505.0,7.64,Košice - okolie,Košický
Družstevná pri Hornáde,157.0,1923.0,8.16,Košice - okolie,Košický
Ďurďošík,50.0,341.0,14.66,Košice - okolie,Košický
Ďurkov,83.0,1180.0,7.11,Košice - okolie,Košický
Dvorníky-Včeláre,87.0,378.0,23.01,Košice - okolie,Košický
Geča,93.0,1323.0,7.02,Košice - okolie,Košický
Gyňov,74.0,499.0,14.82,Košice - okolie,Košický
Hačava,22.0,158.0,13.92,Košice - okolie,Košický
Háj,104.0,258.0,40.31,Košice - okolie,Košický
Haniska,124.0,1134.0,10.93,Košice - okolie,Košický
Herľany,39.0,223.0,17.48,Košice - okolie,Košický
Hodkovce,40.0,226.0,17.69,Košice - okolie,Košický
Hosťovce,70.0,166.0,42.16,Košice - okolie,Košický
Hrašovík,50.0,280.0,17.85,Košice - okolie,Košický
Hýľov,48.0,410.0,11.7,Košice - okolie,Košický
Janík,55.0,492.0,11.17,Košice - okolie,Košický
Jasov,327.0,2125.0,15.43,Košice - okolie,Košický
Kalša,72.0,573.0,12.56,Košice - okolie,Košický
Kecerovce,122.0,1860.0,6.66,Košice - okolie,Košický
Kecerovský Lipovec,35.0,105.0,33.33,Košice - okolie,Košický
Kechnec,139.0,857.0,16.21,Košice - okolie,Košický
Kokšov-Bakša,69.0,935.0,7.37,Košice - okolie,Košický
Komárovce,90.0,325.0,27.69,Košice - okolie,Košický
Košická Belá,70.0,810.0,8.64,Košice - okolie,Košický
Košická Polianka,61.0,812.0,7.51,Košice - okolie,Košický
Košické Oľšany,114.0,944.0,12.07,Košice - okolie,Košický
Košický Klečenov,59.0,230.0,25.65,Košice - okolie,Košický
Kostoľany nad Hornádom,117.0,994.0,11.77,Košice - okolie,Košický
Kráľovce,105.0,812.0,12.93,Košice - okolie,Košický
Kysak,142.0,1195.0,11.88,Košice - okolie,Košický
Malá Ida,157.0,1125.0,13.95,Košice - okolie,Košický
Malá Lodina,18.0,170.0,10.58,Košice - okolie,Košický
Medzev,209.0,2946.0,7.23,Košice - okolie,Košický
Milhosť,21.0,296.0,7.09,Košice - okolie,Košický
Mokrance,130.0,1152.0,11.28,Košice - okolie,Košický
Moldava nad Bodvou,1017.0,7747.0,13.12,Košice - okolie,Košický
Mudrovce,30.0,73.0,41.09,Košice - okolie,Košický
Nižná Hutka,65.0,479.0,13.56,Košice - okolie,Košický
Nižná Kamenica,55.0,445.0,12.35,Košice - okolie,Košický
Nižná Myšľa,100.0,1127.0,8.87,Košice - okolie,Košický
Nižný Čaj,31.0,217.0,14.28,Košice - okolie,Košický
Nižný Klátov,86.0,631.0,13.62,Košice - okolie,Košický
Nižný Lánec,49.0,309.0,15.85,Košice - okolie,Košický
Nová Polhora,55.0,341.0,16.12,Košice - okolie,Košický
Nováčany,59.0,560.0,10.53,Košice - okolie,Košický
Nový Salaš,26.0,171.0,15.2,Košice - okolie,Košický
Obišovce,52.0,330.0,16.06,Košice - okolie,Košický
Olšovany,48.0,456.0,10.52,Košice - okolie,Košický
Opátka,19.0,75.0,25.33,Košice - okolie,Košický
Opiná,22.0,154.0,14.28,Košice - okolie,Košický
Paňovce,73.0,483.0,15.11,Košice - okolie,Košický
Peder,53.0,341.0,15.54,Košice - okolie,Košický
Perín-Chym,146.0,1242.0,11.75,Košice - okolie,Košický
Ploské,117.0,678.0,17.25,Košice - okolie,Košický
Poproč,227.0,2337.0,9.71,Košice - okolie,Košický
Rákoš,37.0,276.0,13.4,Košice - okolie,Košický
Rankovce,59.0,459.0,12.85,Košice - okolie,Košický
Rešica,37.0,292.0,12.67,Košice - okolie,Košický
Rozhanovce,208.0,1855.0,11.21,Košice - okolie,Košický
Rudník,44.0,523.0,8.41,Košice - okolie,Košický
Ruskov,92.0,1137.0,8.09,Košice - okolie,Košický
Sady nad Torysou,157.0,1487.0,10.55,Košice - okolie,Košický
Šemša,58.0,648.0,8.95,Košice - okolie,Košický
Seňa,158.0,1677.0,9.42,Košice - okolie,Košický
Skároš,80.0,856.0,9.34,Košice - okolie,Košický
Slančík,23.0,186.0,12.36,Košice - okolie,Košický
Slanec,96.0,1104.0,8.78,Košice - okolie,Košický
Slanská Huta,46.0,190.0,24.21,Košice - okolie,Košický
Slanské Nové Mesto,50.0,423.0,11.82,Košice - okolie,Košický
Sokoľ,95.0,848.0,11.2,Košice - okolie,Košický
Sokoľany,52.0,918.0,5.66,Košice - okolie,Košický
Štós,105.0,581.0,18.07,Košice - okolie,Košický
Svinica,64.0,698.0,9.16,Košice - okolie,Košický
Trebejov,28.0,159.0,17.61,Košice - okolie,Košický
Trsťany,58.0,234.0,24.78,Košice - okolie,Košický
Trstené pri Hornáde,91.0,1167.0,7.79,Košice - okolie,Košický
Turňa nad Bodvou,259.0,2690.0,9.62,Košice - okolie,Košický
Turnianska Nová Ves,100.0,281.0,35.58,Košice - okolie,Košický
Vajkovce,58.0,551.0,10.52,Košice - okolie,Košický
Valaliky,241.0,3187.0,7.56,Košice - okolie,Košický
Veľká Ida,156.0,2173.0,7.17,Košice - okolie,Košický
Veľká Lodina,24.0,230.0,10.43,Košice - okolie,Košický
Vtáčkovce,45.0,636.0,7.07,Košice - okolie,Košický
Vyšná Hutka,33.0,351.0,9.4,Košice - okolie,Košický
Vyšná Kamenica,37.0,205.0,18.04,Košice - okolie,Košický
Vyšná Myšľa,54.0,775.0,6.96,Košice - okolie,Košický
Vyšný Čaj,25.0,249.0,10.04,Košice - okolie,Košický
Vyšný Klátov,46.0,367.0,12.53,Košice - okolie,Košický
Vyšný Medzev,59.0,451.0,13.3,Košice - okolie,Košický
Zádiel,36.0,138.0,26.08,Košice - okolie,Košický
Žarnov,64.0,347.0,18.44,Košice - okolie,Košický
Ždaňa,117.0,1075.0,10.88,Košice - okolie,Košický
Zlatá Idka,41.0,316.0,12.97,Košice - okolie,Košický
Bajany,54.0,382.0,14.13,Michalovce,Košický
Bánovce nad Ondavou,50.0,583.0,8.57,Michalovce,Košický
Baškovce,87.0,206.0,42.23,Michalovce,Košický
Beňatina,51.0,188.0,27.12,Michalovce,Košický
Beša,149.0,300.0,49.66,Michalovce,Košický
Bežovce,72.0,785.0,9.17,Michalovce,Košický
Blatná Polianka,29.0,145.0,20.0,Michalovce,Košický
Blatné Remety,89.0,455.0,19.56,Michalovce,Košický
Blatné Revištia,30.0,192.0,15.62,Michalovce,Košický
Bracovce,60.0,743.0,8.07,Michalovce,Košický
Budince,47.0,163.0,28.83,Michalovce,Košický
Budkovce,152.0,1187.0,12.8,Michalovce,Košický
Bunkovce,42.0,265.0,15.84,Michalovce,Košický
Čečehov,41.0,301.0,13.62,Michalovce,Košický
Choňkovce,59.0,459.0,12.85,Michalovce,Košický
Čičarovce,220.0,696.0,31.6,Michalovce,Košický
Čierne Pole,77.0,258.0,29.84,Michalovce,Košický
Drahňov,43.0,857.0,5.01,Michalovce,Košický
Dúbravka,45.0,567.0,7.93,Michalovce,Košický
Falkušovce,33.0,518.0,6.37,Michalovce,Košický
Fekišovce,27.0,257.0,10.5,Michalovce,Košický
Hatalov,73.0,615.0,11.86,Michalovce,Košický
Hažín,38.0,395.0,9.62,Michalovce,Košický
Hlivištia,41.0,310.0,13.22,Michalovce,Košický
Hnojné,56.0,182.0,30.76,Michalovce,Košický
Horňa,27.0,293.0,9.21,Michalovce,Košický
Horovce,50.0,673.0,7.42,Michalovce,Košický
Husák,27.0,138.0,19.56,Michalovce,Košický
Iňačovce,36.0,481.0,7.48,Michalovce,Košický
Inovce,31.0,188.0,16.48,Michalovce,Košický
Ižkovce,42.0,87.0,48.27,Michalovce,Košický
Jasenov,24.0,254.0,9.44,Michalovce,Košický
Jastrabie pri Michalovciach,32.0,252.0,12.69,Michalovce,Košický
Jenkovce,44.0,359.0,12.25,Michalovce,Košický
Jovsa,56.0,671.0,8.34,Michalovce,Košický
Kačanov,23.0,312.0,7.37,Michalovce,Košický
Kaluža,50.0,331.0,15.1,Michalovce,Košický
Kapušianske Kľačany,168.0,639.0,26.29,Michalovce,Košický
Klokočov,40.0,321.0,12.46,Michalovce,Košický
Kolibabovce,18.0,137.0,13.13,Michalovce,Košický
Koňuš,70.0,286.0,24.47,Michalovce,Košický
Koromľa,63.0,367.0,17.16,Michalovce,Košický
Krásnovce,63.0,515.0,12.23,Michalovce,Košický
Krčava,52.0,348.0,14.94,Michalovce,Košický
Krišovská Liesková,117.0,658.0,17.78,Michalovce,Košický
Kristy,34.0,236.0,14.4,Michalovce,Košický
Kusín,46.0,286.0,16.08,Michalovce,Košický
Laškovce,37.0,426.0,8.68,Michalovce,Košický
Lastomír,85.0,926.0,9.17,Michalovce,Košický
Lekárovce,66.0,801.0,8.23,Michalovce,Košický
Lesné,44.0,344.0,12.79,Michalovce,Košický
Ložín,63.0,627.0,10.04,Michalovce,Košický
Lúčky,31.0,430.0,7.2,Michalovce,Košický
Malčice,48.0,999.0,4.8,Michalovce,Košický
Malé Raškovce,50.0,200.0,25.0,Michalovce,Košický
Markovce,168.0,562.0,29.89,Michalovce,Košický
Maťovské Vojkovce,110.0,481.0,22.86,Michalovce,Košický
Michalovce,3199.0,31694.0,10.12,Michalovce,Košický
Moravany,71.0,833.0,8.52,Michalovce,Košický
Nacina Ves,161.0,1356.0,11.87,Michalovce,Košický
Nižná Rybnica,54.0,331.0,16.31,Michalovce,Košický
Nižné Nemecké,41.0,283.0,14.48,Michalovce,Košický
Oborín,135.0,570.0,23.68,Michalovce,Košický
Orechová,30.0,177.0,16.94,Michalovce,Košický
Oreské,53.0,411.0,12.89,Michalovce,Košický
Ostrov,39.0,242.0,16.11,Michalovce,Košický
Palín,40.0,705.0,5.67,Michalovce,Košický
Pavlovce nad Uhom,135.0,3062.0,4.4,Michalovce,Košický
