crumbs,turnout,url,id
"['Österreich', 'Steiermark', 'Oststeiermark', 'Weiz', 'Anger']",39.8,http://euwahl2014.bmi.gv.at/61702.html,61702
"['Österreich', 'Tirol', 'Unterland', 'Kufstein', 'Angerberg']",34.9,http://euwahl2014.bmi.gv.at/70528.html,70528
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Gänserndorf', 'Angern an der March']",52.2,http://euwahl2014.bmi.gv.at/30803.html,30803
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Salzburg-Umgebung', 'Anif']",35.5,http://euwahl2014.bmi.gv.at/50301.html,50301
"['Österreich', 'Niederösterreich', 'Niederösterreich Mitte', 'Lilienfeld', 'Annaberg']",59.6,http://euwahl2014.bmi.gv.at/31401.html,31401
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Hallein', 'Annaberg-Lungötz']",41.6,http://euwahl2014.bmi.gv.at/50203.html,50203
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Anras']",29.8,http://euwahl2014.bmi.gv.at/70704.html,70704
"['Österreich', 'Oberösterreich', 'Linz und Umgebung', 'Linz-Land', 'Ansfelden']",37.7,http://euwahl2014.bmi.gv.at/41002.html,41002
"['Österreich', 'Burgenland', 'Burgenland Nord', 'Mattersburg', 'Antau']",62.4,http://euwahl2014.bmi.gv.at/10616.html,10616
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Salzburg-Umgebung', 'Anthering']",39.9,http://euwahl2014.bmi.gv.at/50302.html,50302
"['Österreich', 'Oberösterreich', 'Innviertel', 'Ried im Innkreis', 'Antiesenhofen']",35.8,http://euwahl2014.bmi.gv.at/41202.html,41202
"['Österreich', 'Burgenland', 'Burgenland Nord', 'Neusiedl am See', 'Apetlon']",45.1,http://euwahl2014.bmi.gv.at/10702.html,10702
"['Österreich', 'Steiermark', 'Obersteiermark', 'Murtal', 'Apfelberg']",35.2,http://euwahl2014.bmi.gv.at/62002.html,62002
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Zwettl', 'Arbesbach']",58.1,http://euwahl2014.bmi.gv.at/32502.html,32502
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Perg', 'Arbing']",53.7,http://euwahl2014.bmi.gv.at/41102.html,41102
"['Österreich', 'Niederösterreich', 'Mostviertel', 'Amstetten', 'Ardagger']",60.6,http://euwahl2014.bmi.gv.at/30503.html,30503
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Ardning']",46.7,http://euwahl2014.bmi.gv.at/61206.html,61206
"['Österreich', 'Steiermark', 'Weststeiermark', 'Leibnitz', 'Arnfels']",31.6,http://euwahl2014.bmi.gv.at/61002.html,61002
"['Österreich', 'Kärnten', 'Villach', 'Villach Land', 'Arnoldstein']",35.3,http://euwahl2014.bmi.gv.at/20702.html,20702
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Arnreit']",49.8,http://euwahl2014.bmi.gv.at/41305.html,41305
"['Österreich', 'Kärnten', 'Villach', 'Villach Land', 'Arriach']",28.2,http://euwahl2014.bmi.gv.at/20703.html,20703
"['Österreich', 'Niederösterreich', 'Mostviertel', 'Melk', 'Artstetten-Pöbring']",52.6,http://euwahl2014.bmi.gv.at/31502.html,31502
"['Österreich', 'Steiermark', 'Oststeiermark', 'Weiz', 'Arzberg']",31.3,http://euwahl2014.bmi.gv.at/61703.html,61703
"['Österreich', 'Tirol', 'Oberland', 'Imst', 'Arzl im Pitztal']",27.6,http://euwahl2014.bmi.gv.at/70201.html,70201
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Eferding', 'Aschach an der Donau']",49.5,http://euwahl2014.bmi.gv.at/40502.html,40502
"['Österreich', 'Oberösterreich', 'Traunviertel', 'Steyr-Land', 'Aschach an der Steyr']",52.2,http://euwahl2014.bmi.gv.at/41502.html,41502
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Schwaz', 'Aschau im Zillertal']",24.0,http://euwahl2014.bmi.gv.at/70902.html,70902
"['Österreich', 'Niederösterreich', 'Mostviertel', 'Amstetten', 'Aschbach-Markt']",49.7,http://euwahl2014.bmi.gv.at/30504.html,30504
"['Österreich', 'Oberösterreich', 'Innviertel', 'Braunau am Inn', 'Aspach']",36.2,http://euwahl2014.bmi.gv.at/40402.html,40402
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd', 'Neunkirchen', 'Aspang-Markt']",52.0,http://euwahl2014.bmi.gv.at/31802.html,31802
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd', 'Neunkirchen', 'Aspangberg-St. Peter']",51.0,http://euwahl2014.bmi.gv.at/31803.html,31803
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Mistelbach', 'Asparn an der Zaya']",55.2,http://euwahl2014.bmi.gv.at/31603.html,31603
"['Österreich', 'Niederösterreich', 'Niederösterreich Mitte', 'Sankt Pölten (Land)', 'Asperhofen']",45.1,http://euwahl2014.bmi.gv.at/31902.html,31902
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Assling']",41.5,http://euwahl2014.bmi.gv.at/70705.html,70705
"['Österreich', 'Oberösterreich', 'Linz und Umgebung', 'Linz-Land', 'Asten']",40.9,http://euwahl2014.bmi.gv.at/41003.html,41003
"['Österreich', 'Steiermark', 'Graz und Umgebung', 'Graz-Umgebung', 'Attendorf']",35.1,http://euwahl2014.bmi.gv.at/60601.html,60601
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Vöcklabruck', 'Attersee am Attersee']",45.5,http://euwahl2014.bmi.gv.at/41702.html,41702
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Vöcklabruck', 'Attnang-Puchheim']",42.5,http://euwahl2014.bmi.gv.at/41703.html,41703
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Vöcklabruck', 'Atzbach']",53.2,http://euwahl2014.bmi.gv.at/41704.html,41704
"['Österreich', 'Niederösterreich', 'Niederösterreich Mitte', 'Tulln', 'Atzenbrugg']",50.2,http://euwahl2014.bmi.gv.at/32104.html,32104
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Atzesberg']",45.2,http://euwahl2014.bmi.gv.at/41306.html,41306
"['Österreich', 'Vorarlberg', 'Vorarlberg Nord', 'Bregenz', 'Au']",30.3,http://euwahl2014.bmi.gv.at/80203.html,80203
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd - Ost', 'Bruck an der Leitha', 'Au am Leithaberge']",48.6,http://euwahl2014.bmi.gv.at/30701.html,30701
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Auberg']",52.9,http://euwahl2014.bmi.gv.at/41307.html,41307
"['Österreich', 'Oberösterreich', 'Innviertel', 'Braunau am Inn', 'Auerbach']",47.0,http://euwahl2014.bmi.gv.at/40403.html,40403
"['Österreich', 'Steiermark', 'Oststeiermark', 'Südoststeiermark', 'Auersbach']",54.5,http://euwahl2014.bmi.gv.at/62301.html,62301
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Gänserndorf', 'Auersthal']",57.7,http://euwahl2014.bmi.gv.at/30804.html,30804
"['Österreich', 'Steiermark', 'Oststeiermark', 'Südoststeiermark', 'Aug-Radisch']",35.3,http://euwahl2014.bmi.gv.at/62302.html,62302
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Vöcklabruck', 'Aurach am Hongar']",45.4,http://euwahl2014.bmi.gv.at/41705.html,41705
"['Österreich', 'Tirol', 'Unterland', 'Kitzbühel', 'Aurach bei Kitzbühel']",26.9,http://euwahl2014.bmi.gv.at/70401.html,70401
"['Österreich', 'Oberösterreich', 'Innviertel', 'Ried im Innkreis', 'Aurolzmünster']",33.6,http://euwahl2014.bmi.gv.at/41203.html,41203
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Außervillgraten']",37.7,http://euwahl2014.bmi.gv.at/70706.html,70706
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Innsbruck-Land', 'Axams']",36.6,http://euwahl2014.bmi.gv.at/70304.html,70304
"['Österreich', 'Tirol', 'Oberland', 'Reutte', 'Bach']",35.5,http://euwahl2014.bmi.gv.at/70801.html,70801
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Wels-Land', 'Bachmanning']",46.5,http://euwahl2014.bmi.gv.at/41802.html,41802
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Bad Aussee']",30.0,http://euwahl2014.bmi.gv.at/61207.html,61207
"['Österreich', 'Kärnten', 'Villach', 'Villach Land', 'Bad Bleiberg']",33.0,http://euwahl2014.bmi.gv.at/20705.html,20705
"['Österreich', 'Steiermark', 'Oststeiermark', 'Hartberg-Fürstenfeld', 'Bad Blumau']",40.9,http://euwahl2014.bmi.gv.at/62202.html,62202
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd - Ost', 'Bruck an der Leitha', 'Bad Deutsch-Altenburg']",45.2,http://euwahl2014.bmi.gv.at/30702.html,30702
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd', 'Wiener Neustadt (Land)', 'Bad Erlach']",46.4,http://euwahl2014.bmi.gv.at/32306.html,32306
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd', 'Wiener Neustadt (Land)', 'Bad Fischau-Brunn']",48.6,http://euwahl2014.bmi.gv.at/32301.html,32301
"['Österreich', 'Steiermark', 'Weststeiermark', 'Deutschlandsberg', 'Bad Gams']",31.4,http://euwahl2014.bmi.gv.at/60307.html,60307
"['Österreich', 'Salzburg', 'Lungau/Pinzgau/Pongau', 'Sankt Johann im Pongau', 'Bad Gastein']",30.7,http://euwahl2014.bmi.gv.at/50403.html,50403
"['Österreich', 'Steiermark', 'Oststeiermark', 'Südoststeiermark', 'Bad Gleichenberg']",36.5,http://euwahl2014.bmi.gv.at/62303.html,62303
"['Österreich', 'Oberösterreich', 'Traunviertel', 'Gmunden', 'Bad Goisern am Hallstättersee']",37.8,http://euwahl2014.bmi.gv.at/40702.html,40702
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Gmünd', 'Bad Großpertholz']",48.7,http://euwahl2014.bmi.gv.at/30910.html,30910
"['Österreich', 'Oberösterreich', 'Traunviertel', 'Steyr-Land', 'Bad Hall']",39.6,http://euwahl2014.bmi.gv.at/41503.html,41503
"['Österreich', 'Tirol', 'Unterland', 'Kufstein', 'Bad Häring']",33.6,http://euwahl2014.bmi.gv.at/70503.html,70503
"['Österreich', 'Salzburg', 'Lungau/Pinzgau/Pongau', 'Sankt Johann im Pongau', 'Bad Hofgastein']",30.2,http://euwahl2014.bmi.gv.at/50402.html,50402
"['Österreich', 'Oberösterreich', 'Traunviertel', 'Gmunden', 'Bad Ischl']",39.3,http://euwahl2014.bmi.gv.at/40703.html,40703
"['Österreich', 'Kärnten', 'Kärnten West', 'Spittal an der Drau', 'Bad Kleinkirchheim']",30.3,http://euwahl2014.bmi.gv.at/20601.html,20601
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Perg', 'Bad Kreuzen']",46.1,http://euwahl2014.bmi.gv.at/41108.html,41108
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Urfahr-Umgebung', 'Bad Leonfelden']",49.5,http://euwahl2014.bmi.gv.at/41603.html,41603
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Bad Mitterndorf']",27.1,http://euwahl2014.bmi.gv.at/61226.html,61226
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Gänserndorf', 'Bad Pirawarth']",56.3,http://euwahl2014.bmi.gv.at/30805.html,30805
"['Österreich', 'Steiermark', 'Oststeiermark', 'Südoststeiermark', 'Bad Radkersburg']",43.4,http://euwahl2014.bmi.gv.at/62304.html,62304
"['Österreich', 'Burgenland', 'Burgenland Nord', 'Mattersburg', 'Bad Sauerbrunn']",44.4,http://euwahl2014.bmi.gv.at/10611.html,10611
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Grieskirchen', 'Bad Schallerbach']",45.6,http://euwahl2014.bmi.gv.at/40802.html,40802
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd', 'Wiener Neustadt (Land)', 'Bad Schönau']",56.2,http://euwahl2014.bmi.gv.at/32302.html,32302
"['Österreich', 'Kärnten', 'Kärnten Ost', 'Wolfsberg', 'Bad St. Leonhard im Lavanttal']",29.6,http://euwahl2014.bmi.gv.at/20901.html,20901
"['Österreich', 'Burgenland', 'Burgenland Süd', 'Oberwart', 'Bad Tatzmannsdorf']",51.3,http://euwahl2014.bmi.gv.at/10901.html,10901
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Zwettl', 'Bad Traunstein']",61.5,http://euwahl2014.bmi.gv.at/32528.html,32528
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Hallein', 'Bad Vigaun']",39.5,http://euwahl2014.bmi.gv.at/50213.html,50213
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd - Ost', 'Baden', 'Bad Vöslau']",47.1,http://euwahl2014.bmi.gv.at/30603.html,30603
"['Österreich', 'Steiermark', 'Oststeiermark', 'Hartberg-Fürstenfeld', 'Bad Waltersdorf']",41.0,http://euwahl2014.bmi.gv.at/62203.html,62203
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Wels-Land', 'Bad Wimsbach-Neydharting']",50.7,http://euwahl2014.bmi.gv.at/41803.html,41803
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Freistadt', 'Bad Zell']",54.3,http://euwahl2014.bmi.gv.at/40627.html,40627
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd - Ost', 'Baden', 'Baden']",46.1,http://euwahl2014.bmi.gv.at/30604.html,30604
"['Österreich', 'Burgenland', 'Burgenland Süd', 'Oberwart', 'Badersdorf']",52.6,http://euwahl2014.bmi.gv.at/10931.html,10931
"['Österreich', 'Steiermark', 'Oststeiermark', 'Weiz', 'Baierdorf bei Anger']",42.9,http://euwahl2014.bmi.gv.at/61704.html,61704
"['Österreich', 'Steiermark', 'Oststeiermark', 'Südoststeiermark', 'Bairisch Kölldorf']",40.9,http://euwahl2014.bmi.gv.at/62305.html,62305
"['Österreich', 'Kärnten', 'Kärnten West', 'Spittal an der Drau', 'Baldramsdorf']",31.1,http://euwahl2014.bmi.gv.at/20602.html,20602
"['Österreich', 'Steiermark', 'Weststeiermark', 'Voitsberg', 'Bärnbach']",31.6,http://euwahl2014.bmi.gv.at/61601.html,61601
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Zwettl', 'Bärnkopf']",57.9,http://euwahl2014.bmi.gv.at/32503.html,32503
"['Österreich', 'Vorarlberg', 'Vorarlberg Süd', 'Bludenz', 'Bartholomäberg']",31.9,http://euwahl2014.bmi.gv.at/80101.html,80101
